CUIT,Razon social,Anticipo,TRX,Rég.,ISIB Anual,DDJJs ISIB,PNG Anual,DDJJs IVA,Cod. Act.,Desc. Act. NAES,Base Imp.,AlicDec.,Imp. Decla.,Obs.,Alic.Leg.,Imp. Determ.,Diferencia,Categoria,Fecha de Proceso,tipo_persona
33505297996,Contribuyente 0001,12025,3941206512,LO,"625.014,00",12,0,0,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"46.489,00","1,5","697,34",SI,3,"1.394,67","697,33",Masivo,23/04/25,Humana
38908886787,Contribuyente 0002,22025,3954619166,LO,"13.176.780,00",12,0,0,463154,"Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos","1.679.350,00","1,5","25.190,25",SI,3,"50.380,50","25.190,25",Masivo,23/04/25,Humana
31150805068,Contribuyente 0003,12025,3953832277,CM,"13.892.926,00",12,0,0,662090,Servicios auxiliares a los servicios de seguros n.c.p.,"79.355,31","1,1","872,91",SI,"5,5","4.364,54","3.491,63",Masivo,23/04/25,Humana
33455242410,Contribuyente 0004,22025,3948905634,CM,"17.871.811,00",12,0,0,662090,Servicios auxiliares a los servicios de seguros n.c.p.,"88.785,35","1,1","976,64",SI,"5,5","4.883,19","3.906,55",Masivo,23/04/25,Humana
33068872411,Contribuyente 0005,22025,3970891004,LO,"14.123.954,00",12,6749215,12,477410,Venta al por menor de artículos de óptica y fotografía,"656.240,00","1,1","7.218,64",SI,3,"19.687,20","12.468,56",Masivo,23/04/25,Humana
24390546978,Contribuyente 0006,12025,3965631188,LO,"3.517.041,00",12,0,0,432990,Instalaciones para edificios y obras de ingeniería civil n.c.p.,"96.119,00","1,5","1.441,79",SI,2,"1.922,38","480,59",Masivo,23/04/25,Humana
34696506697,Contribuyente 0007,22025,3944947641,LO,"3.468.619,00",12,0,0,432990,Instalaciones para edificios y obras de ingeniería civil n.c.p.,"101.778,75","1,5","1.526,68",SI,2,"2.035,58","508,89",Masivo,23/04/25,Humana
30149827880,Contribuyente 0008,22025,3961263704,CM,"12.194.023,00",12,0,0,662020,Servicios de productores y asesores de seguros,"458.986,67","4,5","20.654,40",SI,"5,5","25.244,27","4.589,87",Masivo,23/04/25,Humana
39381671403,Contribuyente 0009,12025,3977371876,CM,"11.878.914,00",12,0,0,662020,Servicios de productores y asesores de seguros,"748.999,00","4,5","33.704,96",SI,"5,5","41.194,95","7.489,99",Masivo,23/04/25,Humana
37728141099,Contribuyente 0010,12025,3977375303,CM,"25.331.776,00",12,12958724,12,662020,Servicios de productores y asesores de seguros,"277.405,22",5,"13.870,26",SI,"5,5","15.257,29","1.387,03",Masivo,23/04/25,Humana
35248810692,Contribuyente 0011,22025,3945032931,LO,"10.125.033,00",12,6407715,12,471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios no especializados n.c.p.","1.363.980,00","1,5","20.459,70",SI,6,"81.838,80","61.379,10",Masivo,23/04/25,Humana
30025248953,Contribuyente 0012,12025,3958373982,LO,"15.172.921,00",12,0,0,432200,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos","1.167.500,00","1,5","17.512,50",SI,2,"23.350,00","5.837,50",Masivo,23/04/25,Humana
33243993063,Contribuyente 0013,22025,3958781069,LO,"19.446.825,00",12,0,0,432200,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos","1.512.500,00","1,5","22.687,50",SI,2,"30.250,00","7.562,50",Masivo,23/04/25,Humana
25458831648,Contribuyente 0014,22025,3974226056,CM,"3.607.547,00",12,0,0,662020,Servicios de productores y asesores de seguros,"120.816,21","4,4","5.315,91",SI,"5,5","6.644,89","1.328,98",Masivo,23/04/25,Humana
32491241229,Contribuyente 0015,12025,3970641654,CM,"11.947.467,00",12,8290019,12,464410,Venta al por mayor de artículos de óptica y de fotografía,"651.780,00","1,5","9.776,70",SI,3,"19.553,40","9.776,70",Masivo,23/04/25,Humana
24006034682,Contribuyente 0016,12025,3938974051,LO,"14.223.025,00",12,6577413,12,870990,Servicios sociales con alojamiento n.c.p.,"2.292.900,00","1,5","34.393,50",SI,3,"68.787,00","34.393,50",Masivo,23/04/25,Humana
25489486811,Contribuyente 0017,22025,3952598643,LO,"13.006.990,00",12,6577379,12,870990,Servicios sociales con alojamiento n.c.p.,"2.592.700,00","1,5","38.890,50",SI,3,"77.781,00","38.890,50",Masivo,23/04/25,Humana
36524677172,Contribuyente 0018,12025,3972401487,LO,"2.466.474,00",12,1840029,12,960990,Servicios personales n.c.p.,"200.000,00","1,5","3.000,00",SI,3,"6.000,00","3.000,00",Masivo,23/04/25,Humana
34668983522,Contribuyente 0019,22025,3939428694,LO,"3.339.577,00",12,1839956,12,960990,Servicios personales n.c.p.,"200.000,00","1,5","3.000,00",SI,3,"6.000,00","3.000,00",Masivo,23/04/25,Humana
25006743308,Contribuyente 0020,12025,3960564287,CM,"15.689.181,00",12,14396689,12,681010,"Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares","793.730,00","1,5","11.905,95",SI,3,"23.811,90","11.905,95",Masivo,23/04/25,Humana
37556672208,Contribuyente 0021,22025,3936259286,CM,"23.413.168,00",12,14396624,12,681010,"Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares","857.228,40","1,5","12.858,43",SI,3,"25.716,85","12.858,42",Masivo,23/04/25,Humana
26760213224,Contribuyente 0022,12025,3957246037,LO,"13.154.099,00",12,0,0,681020,Servicios de alquiler de consultorios médicos,"990.000,00","1,5","14.850,00",SI,3,"29.700,00","14.850,00",Masivo,23/04/25,Humana
40147380864,Contribuyente 0023,22025,3966571420,LO,"11.006.335,00",12,0,0,681020,Servicios de alquiler de consultorios médicos,"990.000,00","1,5","14.850,00",SI,3,"29.700,00","14.850,00",Masivo,23/04/25,Humana
25767000703,Contribuyente 0024,12025,3966625352,CM,"14.564.045,00",12,0,0,492130,Servicio de transporte escolar,"1.344.845,04",1,"13.448,45",SI,"1,5","20.172,68","6.724,23",Masivo,23/04/25,Humana
33704467294,Contribuyente 0025,22025,3937466361,CM,"24.677.753,00",12,0,0,492130,Servicio de transporte escolar,"1.351.590,24",1,"13.515,90",SI,"1,5","20.273,85","6.757,95",Masivo,23/04/25,Humana
34427124507,Contribuyente 0026,22025,3961905851,LO,"11.200.478,00",12,0,0,477220,"Venta al por menor de calzado, excepto el ortopédico y el deportivo","1.166.275,00","1,5","17.494,13",SI,3,"34.988,25","17.494,12",Masivo,23/04/25,Humana
30655045399,Contribuyente 0027,22025,3958675630,CM,"-8.119,00",0,0,0,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"1.786.000,00","2,5","44.650,00",SI,3,"53.580,00","8.930,00",Masivo,23/04/25,Humana
27113967676,Contribuyente 0028,12025,3971371046,CM,"-7.540,00",0,0,0,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"2.838.000,00","2,5","70.950,00",SI,3,"85.140,00","14.190,00",Masivo,23/04/25,Humana
25743311187,Contribuyente 0029,22025,3960467184,LO,"10.513.931,00",12,8447155,12,702099,"Servicios de asesoramiento, dirección y gestión empresarial n.c.p.","1.235.452,00","1,5","18.531,78",SI,3,"37.063,56","18.531,78",Masivo,23/04/25,Humana
22666292852,Contribuyente 0030,12025,3961824180,LO,"2.321.790,00",12,0,0,477320,"Venta al por menor de productos cosméticos, de tocador y de perfumería","110.625,00","1,5","1.659,38",SI,3,"3.318,75","1.659,37",Masivo,23/04/25,Humana
35986059963,Contribuyente 0031,22025,3939338121,LO,"1.571.948,00",12,0,0,477320,"Venta al por menor de productos cosméticos, de tocador y de perfumería","110.625,00","1,5","1.659,38",SI,3,"3.318,75","1.659,37",Masivo,23/04/25,Humana
39694093389,Contribuyente 0032,22025,3965008625,LO,"6.321.491,00",12,0,0,471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios no especializados n.c.p.","39.073,90",5,"1.953,70",SI,6,"2.344,43","390,73",Masivo,23/04/25,Humana
32453104963,Contribuyente 0033,12025,3957623852,CM,"12.303.269,00",12,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"700.603,00","1,5","10.509,04",SI,3,"21.018,09","10.509,05",Masivo,23/04/25,Humana
36126709617,Contribuyente 0034,22025,3942370935,CM,"12.246.668,00",12,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"888.837,30","1,5","13.332,56",SI,3,"26.665,12","13.332,56",Masivo,23/04/25,Humana
34300581409,Contribuyente 0035,22025,3967795475,LO,"11.400.935,00",5,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"2.274.965,12","1,5","34.124,48",SI,3,"68.248,95","34.124,47",Masivo,23/04/25,Humana
33946925095,Contribuyente 0036,12025,3957323178,LO,"13.975.602,00",12,0,3,682010,Servicios de administración de consorcios de edificios,"1.200.000,00","1,5","18.000,00",SI,3,"36.000,00","18.000,00",Masivo,23/04/25,Humana
30704470269,Contribuyente 0037,22025,3945353270,LO,"12.350.260,00",12,0,3,682010,Servicios de administración de consorcios de edificios,"1.200.000,00","1,5","18.000,00",SI,3,"36.000,00","18.000,00",Masivo,23/04/25,Humana
34506355172,Contribuyente 0038,22025,3961772572,LO,"858.829,00",12,0,0,661910,Servicios bursátiles de mediación o por cuenta de terceros,"100.155,83","4,5","4.507,01",SI,"5,5","5.508,57","1.001,56",Masivo,23/04/25,Humana
38468421437,Contribuyente 0039,12025,3962761722,LO,"1.316.066,00",12,0,0,661910,Servicios bursátiles de mediación o por cuenta de terceros,"122.401,52","4,5","5.508,07",SI,"5,5","6.732,08","1.224,01",Masivo,23/04/25,Humana
27482190154,Contribuyente 0040,12025,3935424766,LO,"17.725.120,00",12,0,0,920001,"Servicios de recepción de apuestas de quiniela, lotería y similares","1.213.192,00",3,"36.395,76",SI,6,"72.791,52","36.395,76",Masivo,23/04/25,Humana
34956298779,Contribuyente 0041,22025,3948173855,LO,"23.320.767,00",12,0,0,920001,"Servicios de recepción de apuestas de quiniela, lotería y similares","1.341.386,00",3,"40.241,58",SI,6,"80.483,16","40.241,58",Masivo,23/04/25,Humana
23140276702,Contribuyente 0042,12025,3957645928,LO,"11.110.536,00",12,0,0,471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios no especializados n.c.p.","75.719,19",3,"2.271,58",SI,6,"4.543,15","2.271,57",Masivo,23/04/25,Humana
38364491818,Contribuyente 0043,22025,3948894970,LO,"17.622.213,00",12,0,0,471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios no especializados n.c.p.","92.515,70",3,"2.775,47",SI,6,"5.550,94","2.775,47",Masivo,23/04/25,Humana
34874906082,Contribuyente 0044,12025,3957737704,LO,"19.003.117,00",12,0,0,662090,Servicios auxiliares a los servicios de seguros n.c.p.,"1.688.840,00",3,"50.665,20",SI,"5,5","92.886,20","42.221,00",Masivo,23/04/25,Humana
29505969944,Contribuyente 0045,22025,3930818532,LO,"17.780.390,00",12,0,0,662090,Servicios auxiliares a los servicios de seguros n.c.p.,"1.716.680,92",3,"51.500,43",SI,"5,5","94.417,45","42.917,02",Masivo,23/04/25,Humana
23651958997,Contribuyente 0046,12025,3953607506,CM,"2.337.734,00",12,0,0,471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios no especializados n.c.p.","143.411,76",3,"4.302,35",SI,6,"8.604,71","4.302,36",Masivo,23/04/25,Humana
30768794293,Contribuyente 0047,12025,3951142081,CM,"21.673.192,00",12,0,0,410011,"Construcción, reforma y reparación de edificios residenciales","1.000.000,00",1,"10.000,00",SI,2,"20.000,00","10.000,00",Masivo,23/04/25,Humana
25742952720,Contribuyente 0048,22025,3936362689,CM,"24.243.300,00",12,0,0,410011,"Construcción, reforma y reparación de edificios residenciales","1.919.500,00",1,"19.195,00",SI,2,"38.390,00","19.195,00",Masivo,23/04/25,Humana
35908965150,Contribuyente 0049,22025,3961497972,LO,"15.110.332,00",12,0,0,960990,Servicios personales n.c.p.,"701.266,28","1,5","10.518,99",SI,3,"21.037,99","10.519,00",Masivo,23/04/25,Humana
27920964389,Contribuyente 0050,22025,3956980323,CM,"7.782.994,00",12,5157291,12,960990,Servicios personales n.c.p.,"36.000,00",2,720,SI,3,"1.080,00",360,Masivo,23/04/25,Humana
26069382941,Contribuyente 0051,12025,3965583640,CM,"20.462.883,00",12,0,0,681020,Servicios de alquiler de consultorios médicos,"1.584.917,00","1,5","23.773,76",SI,3,"47.547,51","23.773,75",Masivo,23/04/25,Humana
21861646809,Contribuyente 0052,22025,3934235078,CM,"22.026.677,00",12,0,0,681020,Servicios de alquiler de consultorios médicos,"1.702.108,00","1,5","25.531,62",SI,3,"51.063,24","25.531,62",Masivo,23/04/25,Humana
20970699928,Contribuyente 0053,12025,3955407404,CM,"24.378.569,00",12,0,0,662020,Servicios de productores y asesores de seguros,"7.842,02",4,"313,68",SI,"5,5","431,31","117,63",Masivo,23/04/25,Humana
32466307223,Contribuyente 0054,22025,3934063685,CM,"22.237.158,00",12,0,0,662020,Servicios de productores y asesores de seguros,"7.842,02",4,"313,68",SI,"5,5","431,31","117,63",Masivo,23/04/25,Humana
37278722244,Contribuyente 0055,22025,3959872016,LO,"3.946.309,00",12,0,0,960990,Servicios personales n.c.p.,"3.000.000,00","1,5","45.000,00",SI,3,"90.000,00","45.000,00",Masivo,23/04/25,Humana
27225457784,Contribuyente 0056,12025,3966712546,LO,"11.986.056,00",12,6038166,12,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"1.761.000,00","1,5","26.415,00",SI,3,"52.830,00","26.415,00",Masivo,23/04/25,Humana
26588428108,Contribuyente 0057,22025,3963126127,LO,"1.287.187,00",12,0,0,952990,Reparación de efectos personales y enseres domésticos n.c.p.,"48.000,00","1,5",720,SI,3,"1.440,00",720,Masivo,23/04/25,Humana
33969039752,Contribuyente 0058,12025,3954448594,LO,"1.138.898,00",12,0,0,952990,Reparación de efectos personales y enseres domésticos n.c.p.,"285.000,00","1,5","4.275,00",SI,3,"8.550,00","4.275,00",Masivo,23/04/25,Humana
31388704743,Contribuyente 0059,12025,3949458712,LO,"8.680.734,00",12,0,2,682010,Servicios de administración de consorcios de edificios,"1.000.000,00","1,5","15.000,00",SI,3,"30.000,00","15.000,00",Masivo,23/04/25,Humana
37957356365,Contribuyente 0060,22025,3939775227,LO,"14.265.901,00",12,0,2,682010,Servicios de administración de consorcios de edificios,"1.000.000,00","1,5","15.000,00",SI,3,"30.000,00","15.000,00",Masivo,23/04/25,Humana
39254553544,Contribuyente 0061,12025,3961697652,LO,"19.035.579,00",12,0,0,662020,Servicios de productores y asesores de seguros,"134.969,80","1,1","1.484,67",SI,"5,5","7.423,34","5.938,67",Masivo,23/04/25,Humana
26421475650,Contribuyente 0062,22025,3944917695,LO,"15.930.999,00",12,0,0,662020,Servicios de productores y asesores de seguros,"147.146,92","1,1","1.618,62",SI,"5,5","8.093,08","6.474,46",Masivo,23/04/25,Humana
37039291514,Contribuyente 0063,12025,3962096424,CM,"10.100.918,00",12,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"530.519,00","2,5","13.262,98",SI,3,"15.915,57","2.652,59",Masivo,23/04/25,Humana
29813359062,Contribuyente 0064,22025,3939555769,CM,"11.947.171,00",12,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"475.945,00","1,5","7.139,18",SI,3,"14.278,35","7.139,17",Masivo,23/04/25,Humana
31185698932,Contribuyente 0065,22025,3960282585,LO,"21.567.868,00",12,12808190,12,960990,Servicios personales n.c.p.,"1.500.000,00",2,"30.000,00",SI,3,"45.000,00","15.000,00",Masivo,23/04/25,Humana
32136981187,Contribuyente 0066,22025,3957316997,CM,"-9.449,00",1,0,0,492190,Servicio de transporte automotor de pasajeros n.c.p.,"1.734.467,67","1,1","19.079,14",SI,"1,5","26.017,02","6.937,88",Masivo,23/04/25,Humana
29569879043,Contribuyente 0067,22025,3962091068,LO,"10.850.251,00",12,9705213,12,692000,"Servicios de contabilidad, auditoría y asesoría fiscal","842.800,00","1,5","12.642,00",SI,3,"25.284,00","12.642,00",Masivo,23/04/25,Humana
37993732412,Contribuyente 0068,12025,3957086270,CM,"6.555.876,00",12,0,0,523090,Servicios de gestión y logística para el transporte de mercaderías n.c.p.,"810.000,00",2,"16.200,00",SI,3,"24.300,00","8.100,00",Masivo,23/04/25,Humana
39259189020,Contribuyente 0069,12025,3935373903,LO,"6.304.433,00",12,5970351,12,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"875.000,00",2,"17.500,00",SI,3,"26.250,00","8.750,00",Masivo,23/04/25,Humana
22656356768,Contribuyente 0070,12025,3932246533,LO,"3.140.199,00",12,0,0,741000,Servicios de diseño especializado,"349.000,00","1,5","5.235,00",SI,3,"10.470,00","5.235,00",Masivo,23/04/25,Humana
28550471589,Contribuyente 0071,22025,3940779287,LO,"5.183.526,00",12,0,0,741000,Servicios de diseño especializado,"878.000,00","1,5","13.170,00",SI,3,"26.340,00","13.170,00",Masivo,23/04/25,Humana
20612470810,Contribuyente 0072,12025,3959571034,CM,"434.034,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"145.200,00","1,5","2.178,00",SI,2,"2.904,00",726,Masivo,23/04/25,Humana
32487454669,Contribuyente 0073,22025,3938975257,CM,"413.214,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"180.000,00","1,5","2.700,00",SI,2,"3.600,00",900,Masivo,23/04/25,Humana
26708305810,Contribuyente 0074,22025,3963517844,LO,"813.734,00",12,672365,12,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"450.000,00","1,5","6.750,00",SI,3,"13.500,00","6.750,00",Masivo,23/04/25,Humana
24622873737,Contribuyente 0075,12025,3962001093,LO,"16.057.485,00",12,12005400,12,551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público","1.593.125,00","1,5","23.896,88",SI,3,"47.793,75","23.896,87",Masivo,23/04/25,Humana
24333797062,Contribuyente 0076,22025,3932882180,LO,"18.444.526,00",12,12005466,12,551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público","1.614.112,50","1,5","24.211,69",SI,3,"48.423,38","24.211,69",Masivo,23/04/25,Humana
36856617424,Contribuyente 0077,22025,3957102667,CM,"6.637.275,00",12,0,0,960990,Servicios personales n.c.p.,"143.000,00",1,"1.430,00",SI,3,"4.290,00","2.860,00",Masivo,23/04/25,Humana
28612248769,Contribuyente 0078,12025,3956380450,LO,"5.626.720,00",12,0,0,492229,Servicio de transporte automotor de mercaderías a granel n.c.p.,"4.500.000,00","1,5","67.500,00",SI,2,"90.000,00","22.500,00",Masivo,23/04/25,Humana
21795452239,Contribuyente 0079,22025,3935587334,CM,"4.001.178,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"534.400,00","1,5","8.016,00",SI,2,"10.688,00","2.672,00",Masivo,23/04/25,Humana
28544454244,Contribuyente 0080,22025,3961134037,LO,"11.112.719,00",12,6390846,12,791909,Servicios complementarios de apoyo turístico n.c.p.,"558.096,03","1,5","8.371,44",SI,3,"16.742,88","8.371,44",Masivo,23/04/25,Juridica
21557830027,Contribuyente 0081,12025,3971472313,LO,"10.734.548,00",12,6390813,12,791909,Servicios complementarios de apoyo turístico n.c.p.,"3.368.150,23","1,5","50.522,25",SI,3,"101.044,51","50.522,26",Masivo,23/04/25,Juridica
30439790329,Contribuyente 0082,12025,3944665509,LO,"4.153.809,00",12,1278039,12,464112,Venta al por mayor de artículos de mercería,"640.000,00","1,5","9.600,00",SI,3,"19.200,00","9.600,00",Masivo,23/04/25,Juridica
21872250045,Contribuyente 0083,22025,3939726059,LO,"5.401.254,00",12,1278057,12,464112,Venta al por mayor de artículos de mercería,"691.435,00","1,5","10.371,53",SI,3,"20.743,05","10.371,52",Masivo,23/04/25,Juridica
20805959381,Contribuyente 0084,22025,3958963449,CM,"4.405.015,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"93.583,41","1,5","1.403,75",SI,2,"1.871,67","467,92",Masivo,23/04/25,Juridica
27518055551,Contribuyente 0085,12025,3956686441,CM,"4.024.906,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"122.065,40","1,5","1.830,98",SI,2,"2.441,31","610,33",Masivo,23/04/25,Juridica
23959657148,Contribuyente 0086,22025,3937003213,LO,"10.868.793,00",4,0,0,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"1.380.000,00",2,"27.600,00",SI,3,"41.400,00","13.800,00",Masivo,23/04/25,Juridica
40271600706,Contribuyente 0087,12025,3961316031,LO,"13.422.226,00",4,0,0,711009,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.,"1.880.000,00",2,"37.600,00",SI,3,"56.400,00","18.800,00",Masivo,23/04/25,Juridica
21937168619,Contribuyente 0088,22025,3933939003,LO,"9.563.822,00",12,6799319,12,960990,Servicios personales n.c.p.,"1.036.358,67","1,5","15.545,38",SI,3,"31.090,76","15.545,38",Masivo,23/04/25,Juridica
29362132046,Contribuyente 0089,22025,3956639099,LO,"24.205.858,00",12,0,0,841100,Servicios generales de la Administración Pública,"1.645.595,00","1,5","24.683,93",SI,3,"49.367,85","24.683,92",Masivo,23/04/25,Juridica
32429980029,Contribuyente 0090,12025,3959007772,LO,"19.150.439,00",12,0,0,841100,Servicios generales de la Administración Pública,"2.021.557,00","1,5","30.323,36",SI,3,"60.646,71","30.323,35",Masivo,23/04/25,Juridica
20976859282,Contribuyente 0091,22025,3935938710,LO,"14.936.661,00",12,0,0,492299,Servicio de transporte automotor de cargas n.c.p.,"1.156.151,70","1,5","17.342,28",SI,2,"23.123,03","5.780,75",Masivo,23/04/25,Juridica
35729056643,Contribuyente 0092,22025,3953898816,LO,"23.803.155,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"1.875.520,00","1,5","28.132,80",SI,2,"37.510,40","9.377,60",Masivo,23/04/25,Juridica
36132086331,Contribuyente 0093,12025,3958748804,LO,"14.178.742,00",12,0,0,492280,Servicio de transporte automotor urbano de carga n.c.p.,"2.402.123,00","1,5","36.031,85",SI,2,"48.042,46","12.010,61",Masivo,23/04/25,Juridica
22584369362,Contribuyente 0094,22025,3938508318,CM,"17.190.378,00",12,0,0,492140,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre, excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar","833.354,63","0,75","6.250,16",SI,"1,5","12.500,32","6.250,16",Masivo,23/04/25,Juridica
